x,y,z
-21.16805,-84.05453,10.98091
-21.52558,-86.1385,9.85457
-18.8082,-84.21704,11.34062
-19.13394,-86.28294,9.99058
-22.51185,-84.3436,10.14283
-21.64887,-83.11237,10.91101
-20.55887,-81.89775,11.38206
-22.04056,-88.00941,8.29624
-19.62483,-88.13467,8.2907
-23.29965,-85.58738,9.24284
-22.63975,-89.76589,6.52945
-20.26439,-89.81857,6.37075
-24.46031,-88.19765,7.2471
-24.03037,-86.842,8.28072
-23.4856,-91.28879,4.53029
-21.12617,-91.36845,4.26121
-24.81525,-89.51363,6.05264
-24.46937,-92.67125,2.4225
-22.28276,-92.82755,1.9923
-24.97489,-91.9588,3.34981
-25.1143,-90.76212,4.76438
-25,-94,0
-24.98209,-93.03882,1.74933
-18.6372,-81.91395,12.07099
-16.23262,-81.72657,12.33574
-16.38059,-84.00343,11.37442
-19.40924,-80.67303,11.73935
-18.11492,-79.59128,12.05467
-16.70075,-86.07312,9.92114
-17.17382,-87.95512,8.17381
-17.79008,-89.68364,6.24199
-18.58609,-91.28101,4.18339
-19.56127,-92.76236,2.03042
-20.83472,-94.00076,-0.00138
-22.91834,-94.00086,-0.00153
-16.2704,-79.32958,12.52841
-13.88317,-78.80915,12.45835
-13.79887,-81.22301,12.20652
-16.80274,-78.50828,12.20357
-15.36839,-77.61065,12.03177
-13.94744,-83.52052,11.2118
-14.26922,-85.63143,9.75294
-14.72141,-87.58285,8.00872
-15.28962,-89.40575,6.08824
-16.00266,-91.11338,4.05556
-16.91728,-92.69504,1.95168
-18.75134,-94.00065,-0.00124
-11.47759,-78.05203,12.02373
-11.36804,-80.50178,11.86855
-13.84706,-76.79734,11.7565
-11.51317,-82.84735,10.94537
-11.83935,-85.01389,9.53645
-12.2803,-87.03747,7.82807
-12.79403,-88.97376,5.93925
-13.40378,-90.83984,3.94324
-14.20838,-92.60765,1.85248
-16.66786,-94.00058,-0.0012
-9.05244,-77.2336,11.48192
-8.92341,-79.664,11.43047
-12.26878,-76.04716,11.37772
-10.58082,-75.61078,10.99109
-9.06789,-82.03915,10.60141
-9.41229,-84.23364,9.2508
-9.86266,-86.2891,7.59562
-10.33239,-88.31807,5.79168
-10.79621,-90.39165,3.91249
-11.38945,-92.37762,1.93146
-12.5017,-94.00048,-0.00113
-14.58506,-94.00087,-0.00161
-6.63436,-76.23339,10.63942
-6.4759,-78.68677,10.80896
-8.89543,-74.99859,10.47725
-6.63888,-81.08236,10.07642
-7.04069,-83.24392,8.75223
-7.52558,-85.26392,7.15871
-7.93268,-87.3639,5.53575
-8.25531,-89.678,3.98122
-8.64546,-92.0876,2.1619
-10.418,-94.00005,-0.00068
-4.17738,-75.28256,9.75314
-4.02336,-77.6777,10.03258
-7.24075,-74.27274,9.81708
-5.52757,-73.75588,9.11993
-4.25564,-80.03534,9.31791
-4.73927,-82.13138,8.03536
-5.16154,-84.19442,6.64343
-5.36742,-86.48675,5.54534
-5.60038,-88.9418,4.80064
-5.86623,-91.29748,3.73575
-6.05745,-93.09343,1.98331
-8.33423,-93.99968,0.00039
-1.73683,-74.27156,8.57712
-1.60438,-76.63397,8.96634
-3.73749,-73.09422,8.27531
-1.95567,-78.95113,8.29916
-2.43013,-81.08474,7.19946
-2.63665,-83.36859,6.32612
-2.75889,-85.81449,6.10489
-3.10693,-88.24613,6.15834
-3.2793,-90.57953,5.45364
-3.81237,-92.44559,3.62871
0.70808,-73.21905,7.02205
0.73934,-75.60102,7.60552
-1.90712,-72.35565,7.26626
0.32389,-77.95284,7.12978
0.03522,-80.28581,6.51688
-0.03875,-82.71621,6.51687
-0.32743,-85.04919,7.12977
-0.74287,-87.40101,7.60552
-0.71161,-89.78297,7.02205
-1.72126,-91.88596,5.00879
3.27577,-72.42249,5.45365
3.1034,-74.7559,6.15834
-0.17407,-71.55358,6.10816
1.71774,-71.11606,5.00879
2.75536,-77.18753,6.10489
2.63311,-79.63344,6.32611
2.4266,-81.91729,7.19945
1.95214,-84.0509,8.29915
1.60084,-86.36805,8.96633
1.7333,-88.73047,8.57712
1.9036,-90.64637,7.26627
0.17054,-91.44844,6.10815
5.86271,-71.70455,3.73575
5.59686,-74.06022,4.80064
3.80885,-70.55643,3.62871
5.3639,-76.51527,5.54534
5.15802,-78.8076,6.64343
4.73575,-80.87065,8.03536
4.25212,-82.96668,9.31791
4.01984,-85.32432,10.03258
4.17386,-87.71946,9.75314
3.73397,-89.9078,8.27531
8.64193,-70.91443,2.1619
8.25177,-73.32403,3.98122
6.05392,-69.90859,1.98331
7.92914,-75.63812,5.53574
7.52204,-77.7381,7.1587
