i,j
0,1
0,2
0,3
0,4
0,5
0,6
1,7
1,3
1,8
1,9
1,4
7,10
7,8
7,11
7,12
7,13
7,9
10,14
10,11
10,15
10,16
10,12
14,17
14,15
14,18
14,19
14,20
14,16
17,18
17,21
17,22
17,19
23,2
23,24
23,25
23,6
23,26
23,27
2,3
2,25
2,28
2,6
3,8
3,28
3,29
8,11
8,29
8,30
11,15
11,30
11,31
15,18
15,31
15,32
18,32
18,33
18,34
18,21
35,24
35,36
35,37
35,27
35,38
35,39
24,25
24,37
24,40
24,27
25,28
25,40
25,41
28,29
28,41
28,42
29,30
29,42
29,43
30,31
30,43
30,44
31,32
31,44
31,45
32,45
32,46
32,33
36,37
36,47
36,48
36,39
36,49
37,40
37,48
37,50
40,41
40,50
40,51
41,42
41,51
41,52
42,43
42,52
42,53
43,44
43,53
43,54
44,45
44,54
44,55
45,55
45,56
45,46
47,48
47,57
47,58
47,49
47,59
47,60
48,50
48,58
48,61
50,51
50,61
50,62
51,52
51,62
51,63
52,53
52,63
52,64
53,54
53,64
53,65
54,55
54,65
54,66
55,66
55,67
55,68
55,56
57,58
57,69
57,70
57,60
57,71
58,61
58,70
58,72
61,62
61,72
61,73
62,63
62,73
62,74
63,64
63,74
63,75
64,65
64,75
64,76
65,66
65,76
65,77
66,77
66,78
66,67
69,70
69,79
69,80
69,71
69,81
69,82
70,72
70,80
70,83
72,73
72,83
72,84
73,74
73,84
73,85
74,75
74,85
74,86
75,76
75,86
75,87
76,77
76,87
76,88
77,88
77,89
77,90
77,78
79,80
79,91
79,92
79,82
79,93
80,83
80,92
80,94
83,84
83,94
83,95
84,85
84,95
84,96
85,86
85,96
85,97
86,87
86,97
86,98
87,88
87,98
87,99
88,99
88,100
88,89
91,92
91,101
91,102
91,93
91,103
92,94
92,102
92,104
94,95
94,104
94,105
95,96
95,105
95,106
96,97
96,106
96,107
97,98
97,107
97,108
98,99
98,108
98,109
99,109
99,110
99,100
101,102
101,111
101,112
101,103
101,113
101,114
102,104
102,112
102,115
104,105
104,115
104,116
105,106
105,116
105,117
106,107
106,117
106,118
107,108
107,118
107,119
108,109
108,119
108,120
109,120
109,121
109,122
109,110
111,112
111,123
111,124
111,114
111,125
112,115
112,124
112,126
115,116
115,126
115,127
116,117
116,127
116,128
117,118
117,128
117,129
118,119
118,129
118,130
119,120
119,130
119,131
120,131
120,132
120,121
123,124
123,133
123,134
123,125
123,135
124,126
124,134
124,136
126,127
126,136
126,137
127,128
127,137
127,138
128,129
128,138
128,139
129,130
129,139
129,140
130,131
130,140
130,141
131,141
131,142
131,132
133,134
133,143
133,144
133,135
133,145
133,146
134,136
134,144
134,147
136,137
136,147
136,148
137,138
137,148
137,149
138,139
138,149
138,150
139,140
139,150
139,151
140,141
140,151
140,152
141,152
141,153
141,154
141,142
143,144
143,155
143,156
143,146
143,157
144,147
144,156
144,158
147,148
147,158
147,159
148,149
148,159
148,160
149,150
149,160
149,161
150,151
150,161
150,162
151,152
151,162
151,163
152,163
152,164
152,153
155,156
155,165
155,166
155,157
155,167
155,168
156,158
156,166
156,169
158,159
158,169
158,170
159,160
159,170
159,171
160,161
160,171
160,172
161,162
161,172
161,173
162,163
162,173
162,174
163,174
163,164
163,175
163,176
165,166
165,177
165,178
165,168
165,179
166,169
166,178
166,180
169,170
169,180
169,181
170,171
170,181
170,182
171,172
171,182
171,183
172,173
172,183
172,184
173,174
173,184
173,185
174,185
174,186
174,175
177,178
177,187
177,188
177,179
177,189
178,180
178,188
178,190
180,181
180,190
180,191
181,182
181,191
181,192
182,183
182,192
182,193
183,184
183,193
183,194
184,185
184,194
184,195
185,195
185,196
185,186
187,188
187,197
187,198
187,189
187,199
187,200
188,190
188,198
188,201
190,191
190,201
190,202
191,192
191,202
191,203
192,193
192,203
192,204
193,194
193,204
193,205
194,205
194,206
194,195
197,198
197,200
197,207
197,208
198,201
198,208
198,209
198,210
201,202
201,210
201,211
202,203
202,211
202,212
202,213
203,204
203,213
203,214
204,214
204,215
204,205
164,153
164,176
153,154
154,142
142,132
132,121
121,122
122,110
110,100
100,89
89,90
90,78
78,67
67,68
68,56
56,46
46,33
33,34
34,21
21,22
22,19
19,20
20,16
16,12
12,13
13,9
9,4
4,5
5,6
6,26
26,27
27,38
38,39
39,49
49,59
59,60
60,71
71,81
81,82
82,93
93,103
103,113
113,114
114,125
125,135
135,145
145,146
146,157
157,167
167,168
168,179
179,189
189,199
199,200
200,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,205
205,206
206,195
195,196
196,186
186,175
175,176
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
