x,y,z
14.2701,34.03573,0
11.357,34.03573,0
11.357,31.22194,0
14.2701,36.84953,0
11.357,36.84953,0
14.2701,39.66332,0
11.357,39.66332,0
14.2701,42.47711,0
11.357,42.47711,0
14.2701,45.29091,0
11.357,45.29091,0
14.2701,48.1047,0
11.357,48.1047,0
14.2701,50.91849,0
11.357,50.91849,0
17.18319,25.59435,0
14.2701,25.59435,0
14.2701,22.78056,0
17.18319,28.40815,0
14.2701,28.40815,0
17.18319,31.22194,0
14.2701,31.22194,0
17.18319,34.03573,0
17.18319,36.84953,0
17.18319,39.66332,0
17.18319,42.47711,0
17.18319,45.29091,0
17.18319,48.1047,0
17.18319,50.91849,0
17.18319,53.73229,0
14.2701,53.73229,0
17.18319,56.54608,0
14.2701,56.54608,0
17.18319,59.35987,0
14.2701,59.35987,0
20.09628,5.8978,0
17.18319,5.8978,0
17.18319,3.08401,0
20.09628,8.7116,0
17.18319,8.7116,0
20.09628,11.52539,0
17.18319,11.52539,0
20.09628,14.33918,0
17.18319,14.33918,0
20.09628,17.15297,0
17.18319,17.15297,0
20.09628,19.96677,0
17.18319,19.96677,0
20.09628,22.78056,0
17.18319,22.78056,0
20.09628,25.59435,0
20.09628,28.40815,0
20.09628,31.22194,0
20.09628,34.03573,0
20.09628,36.84953,0
20.09628,39.66332,0
20.09628,42.47711,0
20.09628,45.29091,0
20.09628,48.1047,0
20.09628,50.91849,0
20.09628,53.73229,0
20.09628,56.54608,0
20.09628,59.35987,0
20.09628,62.17367,0
17.18319,62.17367,0
20.09628,64.98746,0
17.18319,64.98746,0
20.09628,67.80125,0
17.18319,67.80125,0
20.09628,70.61504,0
17.18319,70.61504,0
20.09628,73.42884,0
17.18319,73.42884,0
20.09628,76.24263,0
17.18319,76.24263,0
20.09628,79.05642,0
17.18319,79.05642,0
23.00938,5.8978,0
20.09628,3.08401,0
23.00938,8.7116,0
23.00938,11.52539,0
23.00938,14.33918,0
23.00938,17.15297,0
23.00938,19.96677,0
23.00938,22.78056,0
23.00938,25.59435,0
23.00938,28.40815,0
